bookId,book_name,author_name,subject_name,books_count,availability,cover_page,syllabus_pdf,ratings
23,Database Management Systems,Raghu Ramakrishnan,Database Management Systems,12,Yes,https://covers.zlibcdn2.com/covers100/books/00/e2/2b/00e22b5cb10bc9859a3d389ea77bdd08.jpg,https://1lib.in/dl/464494/792794,2
24,Concept of Database Management Systems,V.K. Pallaw,Database Management Systems,21,Yes,https://covers.zlibcdn2.com/covers100/books/7f/eb/57/7feb577b8290320ea9895df066fa1561.jpg,https://1lib.in/dl/2064071/260243,5
25,Introduction to the Design and Analysis of Algorithms  ,Anany Levitin,Design and Analysis of Algorithms,34,Yes,https://covers.zlibcdn2.com/covers100/books/b4/c2/8f/b4c28fb96b016e94a2d68fd37e070248.jpg,https://1lib.in/dl/1205454/e6dbc4,4
26,Introduction to the Design and Analysis of Algorithms  ,Anany Levitin,Design and Analysis of Algorithms,30,Yes,https://covers.zlibcdn2.com/covers100/books/b4/c2/8f/b4c28fb96b016e94a2d68fd37e070248.jpg,https://1lib.in/dl/1205454/9ceb90,5
27,Design and Analysis of Algorithms. A contemporary Perspective,Sandeep Sen,Design and Analysis of Algorithms,20,Yes,https://covers.zlibcdn2.com/covers100/books/6a/64/26/6a6426ce7cd0108a9acc86397dc7d9c8.jpg,https://1lib.in/dl/4998305/fe6ade,1
28,"Introduction to the Design and Analysis of Algorithms, 3rd Edition  ",Anany Levitin,Design and Analysis of Algorithms,25,Yes,https://covers.zlibcdn2.com/covers100/books/21/7d/36/217d36bec574595ff9145d3cc200951f.jpg,https://1lib.in/dl/1168917/7bc21f,5
29,The Design and Analysis of Computer Algorithms,Alfred V. Aho,Design and Analysis of Algorithms,19,Yes,https://covers.zlibcdn2.com/covers100/books/3e/09/a1/3e09a18f703e1ee4e83c43e1473ae6f2.jpg,https://1lib.in/dl/2072416/deac8c,5
30, Software Engineering at Google,Hyrum Wright,Software Engineering,24,Yes,https://covers.zlibcdn2.com/covers100/books/03/2e/e6/032ee62576302e880c39607600b19582.png,https://1lib.in/dl/5345121/674619,5
31,"Software Engineering, 10th Edition",Ian Sommerville,Software Engineering,17,Yes,https://covers.zlibcdn2.com/covers100/books/e0/aa/7d/e0aa7d350597683f6e44f1b0f8d9d901.jpg,https://1lib.in/dl/3703896/e929ad,2
32,Software Engineering with UML,Bhuvan Unhelkar,Software Engineering,15,Yes,https://covers.zlibcdn2.com/covers100/books/c7/51/95/c75195628aa0b1d2c79b1c0d2ba9790e.jpg,https://1lib.in/dl/3419384/7a6639,1
33,Hands-On Software Engineering with Python: Move beyond basic programming and construct reliable and efficient software with complex code,Brian Allbee,Software Engineering,26,Yes,https://covers.zlibcdn2.com/covers100/books/dc/5a/c6/dc5ac65e73c6357c14261ddb910a2589.jpg,https://1lib.in/dl/3655462/7e924d,5
34,Software Engineering: Architecture-driven Software Development,Richard F Schmidt,Software Engineering,16,Yes,https://covers.zlibcdn2.com/covers100/books/95/c6/15/95c61577b406a57f01c1353455d357d7.jpg,https://1lib.in/dl/2190533/646279,2
35,"Artificial Intelligence for Humans, Volume 3: Deep Learning and Neural Networks",Jeff Heaton,Artificial Intelligence,20,Yes,https://covers.zlibcdn2.com/covers100/books/e8/6a/40/e86a40b7421770a9a1156b1b6192d86f.jpg,https://1lib.in/dl/2656808/6885d3,5
